watchdog-mailcow-1  | {"time":"2026-09-02T03:56:39.06124234+02:00","level":"DEBUG","msg":"probe passed","check":"redis","probe":"ping","took":202366,"detail":"ping: Redis answered PONG"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:10.604176852+02:00","level":"DEBUG","msg":"health level","check":"mailq","percent":100,"health":20,"of":20,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:13.371778592+02:00","level":"DEBUG","msg":"probe passed","check":"redis","probe":"ping","took":204589,"detail":"ping: Redis answered PONG"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:13.371957723+02:00","level":"DEBUG","msg":"health level","check":"redis","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:20.032805568+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"settings","took":26235782,"detail":"settings: settings check succeeded, score returned: 9999"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:20.033620217+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"milter","took":787969,"detail":"milter: milter rspamd-mailcow:9900 answered"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:20.033798175+02:00","level":"DEBUG","msg":"health level","check":"rspamd","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:25.426909713+02:00","level":"DEBUG","msg":"probe passed","check":"clamd","probe":"ping","took":879557,"detail":"ping: clamd-mailcow:3310 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:25.427095183+02:00","level":"DEBUG","msg":"health level","check":"clamd","percent":100,"health":15,"of":15,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:29.195274245+02:00","level":"DEBUG","msg":"probe passed","check":"ratelimit","probe":"rl-log","took":272462,"detail":"rl-log: no new rate limits applied"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:29.195476511+02:00","level":"DEBUG","msg":"health level","check":"ratelimit","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.027681011+02:00","level":"DEBUG","msg":"probe passed","check":"postfix","probe":"transaction","took":12268986,"detail":"transaction: postfix-mailcow:589 completed the SMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.06629826+02:00","level":"DEBUG","msg":"probe passed","check":"mailq","probe":"deferred","took":98698,"detail":"deferred: mail queue contains 0 items (critical limit is 30)"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.066543649+02:00","level":"DEBUG","msg":"health level","check":"mailq","percent":100,"health":20,"of":20,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.070637587+02:00","level":"DEBUG","msg":"probe passed","check":"postfix","probe":"starttls","took":42927874,"detail":"starttls: postfix-mailcow:589 completed the SMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.070788936+02:00","level":"DEBUG","msg":"health level","check":"postfix","percent":100,"health":8,"of":8,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.897001209+02:00","level":"DEBUG","msg":"probe passed","check":"redis","probe":"ping","took":223277,"detail":"ping: Redis answered PONG"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:37.897114319+02:00","level":"DEBUG","msg":"health level","check":"redis","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:38.107056129+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"lookup","took":622760,"detail":"lookup: 0.001 seconds response time, stackoverflow.com. returns 198.252.206.1"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:38.107489112+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"dnssec","took":406883,"detail":"dnssec: unbound-mailcow validated com."}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:38.107698127+02:00","level":"DEBUG","msg":"health level","check":"unbound","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:47.026176412+02:00","level":"DEBUG","msg":"probe passed","check":"postfix-tlspol","probe":"tlspol-8642","took":748359,"detail":"tlspol-8642: postfix-tlspol-mailcow:8642 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:47.026377625+02:00","level":"DEBUG","msg":"health level","check":"postfix-tlspol","percent":100,"health":8,"of":8,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:50.465220409+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"lmtp-24","took":14309895,"detail":"lmtp-24: dovecot-mailcow:24 completed the LMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:50.472921181+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"imaps-993","took":7672930,"detail":"imaps-993: dovecot-mailcow:993 greeted with \"* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ AUTH=PLAIN AUTH=LOGIN] Dovecot ready.\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:50.474736682+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"imap-143","took":1796422,"detail":"imap-143: dovecot-mailcow:143 greeted with \"* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ STARTTLS LOGINDISABLED] Dovecot ready.\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:50.475662889+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"replication-10001","took":889872,"detail":"replication-10001: dovecot-mailcow:10001 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:50.477533253+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"managesieve-4190","took":1602550,"detail":"managesieve-4190: dovecot-mailcow:4190 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:50.477687214+02:00","level":"DEBUG","msg":"health level","check":"dovecot","percent":100,"health":12,"of":12,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:53.060699758+02:00","level":"DEBUG","msg":"probe passed","check":"acme","probe":"fail-time","took":289877,"detail":"fail-time: ACME_FAIL_TIME unchanged at \"1788196191\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:53.060887392+02:00","level":"DEBUG","msg":"health level","check":"acme","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:55.752680482+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot-repl","probe":"repl-health","took":320675,"detail":"repl-health: DOVECOT_REPL_HEALTH is \"1\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:55.752814655+02:00","level":"DEBUG","msg":"health level","check":"dovecot-repl","percent":100,"health":20,"of":20,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:57.284350975+02:00","level":"DEBUG","msg":"probe passed","check":"olefy","probe":"olefy-10055","took":431722,"detail":"olefy-10055: olefy-mailcow:10055 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:57.284588212+02:00","level":"DEBUG","msg":"health level","check":"olefy","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:58.902576541+02:00","level":"DEBUG","msg":"probe passed","check":"fail2ban","probe":"active-bans","took":292672,"detail":"active-bans: no new bans"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:58.902881591+02:00","level":"DEBUG","msg":"health level","check":"fail2ban","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:01.625030572+02:00","level":"DEBUG","msg":"probe passed","check":"php-fpm","probe":"fpm-9001","took":734429,"detail":"fpm-9001: php-fpm-mailcow:9001 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:01.62542078+02:00","level":"DEBUG","msg":"probe passed","check":"php-fpm","probe":"fpm-9002","took":368155,"detail":"fpm-9002: php-fpm-mailcow:9002 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:01.625653422+02:00","level":"DEBUG","msg":"health level","check":"php-fpm","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:04.879987402+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"settings","took":312095494,"detail":"settings: settings check succeeded, score returned: 9999"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:04.880645945+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"milter","took":630842,"detail":"milter: milter rspamd-mailcow:9900 answered"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:04.880824324+02:00","level":"DEBUG","msg":"health level","check":"rspamd","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:04.948267525+02:00","level":"DEBUG","msg":"probe passed","check":"ratelimit","probe":"rl-log","took":234965,"detail":"rl-log: no new rate limits applied"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:04.948682982+02:00","level":"DEBUG","msg":"health level","check":"ratelimit","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:10.622688754+02:00","level":"DEBUG","msg":"probe passed","check":"clamd","probe":"ping","took":731423,"detail":"ping: clamd-mailcow:3310 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:10.622904039+02:00","level":"DEBUG","msg":"health level","check":"clamd","percent":100,"health":15,"of":15,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:11.325730998+02:00","level":"DEBUG","msg":"probe passed","check":"nginx","probe":"http-8081","took":1029243,"detail":"http-8081: GET http://nginx-mailcow:8081/ returned 200 OK"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:11.326066223+02:00","level":"DEBUG","msg":"health level","check":"nginx","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:18.319867533+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"lookup","took":735219,"detail":"lookup: 0.001 seconds response time, stackoverflow.com. returns 198.252.206.1"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:18.320517875+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"dnssec","took":610472,"detail":"dnssec: unbound-mailcow validated com."}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:18.320738188+02:00","level":"DEBUG","msg":"health level","check":"unbound","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:20.887186537+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"connect","took":298641,"detail":"connect: database is reachable"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:20.888120837+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"table-count","took":828100,"detail":"table-count: query succeeded"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:20.888515704+02:00","level":"DEBUG","msg":"health level","check":"mysql","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:22.780290671+02:00","level":"DEBUG","msg":"probe passed","check":"php-fpm","probe":"fpm-9001","took":838086,"detail":"fpm-9001: php-fpm-mailcow:9001 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:22.780824787+02:00","level":"DEBUG","msg":"probe passed","check":"php-fpm","probe":"fpm-9002","took":503730,"detail":"fpm-9002: php-fpm-mailcow:9002 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:22.781066402+02:00","level":"DEBUG","msg":"health level","check":"php-fpm","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:29.872628761+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot-repl","probe":"repl-health","took":293583,"detail":"repl-health: DOVECOT_REPL_HEALTH is \"1\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:29.87280122+02:00","level":"DEBUG","msg":"health level","check":"dovecot-repl","percent":100,"health":20,"of":20,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:33.042426086+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"lmtp-24","took":5457075,"detail":"lmtp-24: dovecot-mailcow:24 completed the LMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:33.048146898+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"imaps-993","took":5620062,"detail":"imaps-993: dovecot-mailcow:993 greeted with \"* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ AUTH=PLAIN AUTH=LOGIN] Dovecot ready.\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:33.049699381+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"imap-143","took":1525451,"detail":"imap-143: dovecot-mailcow:143 greeted with \"* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ STARTTLS LOGINDISABLED] Dovecot ready.\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:33.050104613+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"replication-10001","took":389097,"detail":"replication-10001: dovecot-mailcow:10001 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:33.051617947+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"managesieve-4190","took":1452141,"detail":"managesieve-4190: dovecot-mailcow:4190 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:33.051968696+02:00","level":"DEBUG","msg":"health level","check":"dovecot","percent":100,"health":12,"of":12,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:35.494775567+02:00","level":"DEBUG","msg":"probe passed","check":"postfix-tlspol","probe":"tlspol-8642","took":750212,"detail":"tlspol-8642: postfix-tlspol-mailcow:8642 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:35.495051904+02:00","level":"DEBUG","msg":"health level","check":"postfix-tlspol","percent":100,"health":8,"of":8,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:39.301357846+02:00","level":"DEBUG","msg":"probe passed","check":"olefy","probe":"olefy-10055","took":754649,"detail":"olefy-10055: olefy-mailcow:10055 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:39.30159913+02:00","level":"DEBUG","msg":"health level","check":"olefy","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:40.739618342+02:00","level":"DEBUG","msg":"probe passed","check":"postfix","probe":"transaction","took":10613818,"detail":"transaction: postfix-mailcow:589 completed the SMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:40.782657614+02:00","level":"DEBUG","msg":"probe passed","check":"postfix","probe":"starttls","took":42994595,"detail":"starttls: postfix-mailcow:589 completed the SMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:40.782870505+02:00","level":"DEBUG","msg":"health level","check":"postfix","percent":100,"health":8,"of":8,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:43.450037496+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"connect","took":377358,"detail":"connect: database is reachable"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:43.450842431+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"table-count","took":779998,"detail":"table-count: query succeeded"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:43.451057305+02:00","level":"DEBUG","msg":"health level","check":"mysql","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:47.621655514+02:00","level":"DEBUG","msg":"probe passed","check":"nginx","probe":"http-8081","took":1125118,"detail":"http-8081: GET http://nginx-mailcow:8081/ returned 200 OK"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:47.621858389+02:00","level":"DEBUG","msg":"health level","check":"nginx","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:49.603911241+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"settings","took":40199205,"detail":"settings: settings check succeeded, score returned: 9999"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:49.604561794+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"milter","took":607226,"detail":"milter: milter rspamd-mailcow:9900 answered"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:49.604713361+02:00","level":"DEBUG","msg":"health level","check":"rspamd","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:49.857415933+02:00","level":"DEBUG","msg":"probe passed","check":"ratelimit","probe":"rl-log","took":339522,"detail":"rl-log: no new rate limits applied"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:49.857582045+02:00","level":"DEBUG","msg":"health level","check":"ratelimit","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:52.349642847+02:00","level":"DEBUG","msg":"probe passed","check":"redis","probe":"ping","took":270957,"detail":"ping: Redis answered PONG"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:52.349754315+02:00","level":"DEBUG","msg":"health level","check":"redis","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:53.755500783+02:00","level":"DEBUG","msg":"probe passed","check":"mailq","probe":"deferred","took":130376,"detail":"deferred: mail queue contains 0 items (critical limit is 30)"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:58:53.755780426+02:00","level":"DEBUG","msg":"health level","check":"mailq","percent":100,"health":20,"of":20,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:02.271292691+02:00","level":"DEBUG","msg":"probe passed","check":"olefy","probe":"olefy-10055","took":937485,"detail":"olefy-10055: olefy-mailcow:10055 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:02.271537571+02:00","level":"DEBUG","msg":"health level","check":"olefy","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:02.505096242+02:00","level":"DEBUG","msg":"probe passed","check":"acme","probe":"fail-time","took":243897,"detail":"fail-time: ACME_FAIL_TIME unchanged at \"1788196191\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:02.505206778+02:00","level":"DEBUG","msg":"health level","check":"acme","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:03.684145515+02:00","level":"DEBUG","msg":"probe passed","check":"fail2ban","probe":"active-bans","took":207913,"detail":"active-bans: no new bans"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:03.684282913+02:00","level":"DEBUG","msg":"health level","check":"fail2ban","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:05.444497424+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot-repl","probe":"repl-health","took":322095,"detail":"repl-health: DOVECOT_REPL_HEALTH is \"1\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:05.444694781+02:00","level":"DEBUG","msg":"health level","check":"dovecot-repl","percent":100,"health":20,"of":20,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:09.850554032+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"lookup","took":815452,"detail":"lookup: 0.001 seconds response time, stackoverflow.com. returns 198.252.206.1"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:09.851103151+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"dnssec","took":517241,"detail":"dnssec: unbound-mailcow validated com."}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:09.851433711+02:00","level":"DEBUG","msg":"health level","check":"unbound","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:20.784767209+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"connect","took":176166,"detail":"connect: database is reachable"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:20.785595199+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"table-count","took":803764,"detail":"table-count: query succeeded"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:20.785831365+02:00","level":"DEBUG","msg":"health level","check":"mysql","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:20.886259986+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"settings","took":323164530,"detail":"settings: settings check succeeded, score returned: 9999"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:20.886906061+02:00","level":"DEBUG","msg":"probe passed","check":"rspamd","probe":"milter","took":618754,"detail":"milter: milter rspamd-mailcow:9900 answered"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:20.887139273+02:00","level":"DEBUG","msg":"health level","check":"rspamd","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:32.883611192+02:00","level":"DEBUG","msg":"probe passed","check":"postfix-tlspol","probe":"tlspol-8642","took":619765,"detail":"tlspol-8642: postfix-tlspol-mailcow:8642 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:32.88380867+02:00","level":"DEBUG","msg":"health level","check":"postfix-tlspol","percent":100,"health":8,"of":8,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:33.025542495+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"lookup","took":5399429,"detail":"lookup: 0.005 seconds response time, stackoverflow.com. returns 198.252.206.1"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:33.026027888+02:00","level":"DEBUG","msg":"probe passed","check":"unbound","probe":"dnssec","took":460395,"detail":"dnssec: unbound-mailcow validated com."}
watchdog-mailcow-1  | {"time":"2026-09-02T03:59:33.026300119+02:00","level":"DEBUG","msg":"health level","check":"unbound","percent":100,"health":5,"of":5,"trend":0}
